Date,High,Low,Open,Close,Volume,Adj Close,EPS,IR
1/31/2000,51,49.75,50.4375,50.75,11300,36.72830582,NaN,3.36%
2/1/2000,50.9375,47,50.9375,47,9600,34.01436996,NaN,3.36%
2/2/2000,49.375,47,47.3125,48.25,5200,34.91902924,NaN,3.36%
2/3/2000,50.125,47.75,48.5,48.25,8200,34.91902924,NaN,3.36%
2/4/2000,48.25,47.5,48,47.5,6200,34.37622833,NaN,3.36%
2/7/2000,48,46.5,47.25,47,11100,34.01436996,NaN,3.36%
2/8/2000,48,46.75,47,47.4375,5100,34.33102036,NaN,3.36%
2/9/2000,49.125,47.25,47.75,48.65625,11800,35.21303177,NaN,3.36%
2/10/2000,49.75,48,48.0625,49.125,15200,35.55226898,NaN,3.36%
2/11/2000,49.75,48.5,48.875,49,23500,35.46181107,NaN,3.36%
2/14/2000,49.5,48.75,49,49.5,4200,35.82367325,NaN,3.36%
2/15/2000,49.5,48.75,48.75,49.5,7200,35.82367325,NaN,3.36%
2/16/2000,49.75,49,49.5,49.25,2500,35.82367325,NaN,3.36%
2/17/2000,49.75,49.25,49.375,49.5,12800,36.00551987,NaN,3.36%
2/18/2000,49.75,49.25,49.5,49.5625,5500,36.0509758,NaN,3.36%
2/22/2000,50,49.25,49.25,49.75,17700,36.18733597,NaN,3.36%
2/23/2000,50.25,49.5,49.75,50,7000,36.36919785,NaN,3.36%
2/24/2000,50.75,49.75,49.75,50.125,10500,36.46011353,NaN,3.36%
2/25/2000,50.75,50,50.75,50.28125,11500,36.57376862,NaN,3.36%
2/28/2000,50.9375,50,50.9375,50.125,8000,36.46011353,NaN,3.36%
2/29/2000,50.875,50,50,50.46875,12800,36.71015167,NaN,3.36%
3/1/2000,50.8125,50.25,50.75,50.40625,4300,36.66468811,NaN,3.36%
3/2/2000,50.875,49.9375,50.3125,50.625,6700,36.82381058,NaN,3.36%
3/3/2000,51,50.25,50.625,51,11400,37.09658051,NaN,3.36%
3/6/2000,51.0625,50.5,50.5,50.5,3500,36.73290253,NaN,3.36%
3/7/2000,50.9375,50.25,50.9375,50.9375,20500,37.0511322,NaN,3.36%
3/8/2000,53,50.5625,50.78125,53,10100,38.5513382,NaN,3.36%
3/9/2000,53,50.625,52,50.625,1600,36.82381058,NaN,3.36%
3/10/2000,51.3125,50.875,50.875,51.125,10700,37.18750381,NaN,3.36%
3/13/2000,51.375,50.75,50.8125,51.03125,9500,37.1193161,NaN,3.36%
3/14/2000,52.25,51.5,51.875,51.6875,6800,37.59666061,NaN,3.36%
3/15/2000,52.25,51,51.625,52,5000,37.82396317,NaN,3.36%
3/16/2000,52.8125,51,51.5625,52,9500,37.82396317,NaN,3.36%
3/17/2000,53,51.3125,51.3125,51.75,5900,37.64213562,NaN,3.36%
3/20/2000,52.9375,51.4375,52.9375,51.4375,9300,37.41481781,NaN,3.36%
3/21/2000,52.625,51.4375,52.625,51.4375,2500,37.41481781,NaN,3.36%
3/22/2000,52.25,51.4375,51.71875,52.125,5100,37.91488647,NaN,3.36%
3/23/2000,53,51.4375,53,52.75,9200,38.36949158,NaN,3.36%
3/24/2000,53,51.4375,52.3125,51.5625,14700,37.50574493,NaN,3.36%
3/27/2000,52,51.4375,52,51.4375,3100,37.41481781,NaN,3.36%
3/28/2000,52.5,51.75,52.125,51.75,2300,37.64213562,NaN,3.36%
3/29/2000,53,51.4375,52.4375,51.625,5900,37.55118942,NaN,3.36%
3/30/2000,53,51.5,53,52.125,28000,37.91488647,NaN,3.36%
3/31/2000,52.9375,51.5625,51.84375,52.9375,3200,38.50587845,NaN,3.36%
4/3/2000,52.75,50,52.625,51.25,5600,37.27843475,NaN,3.36%
4/4/2000,52.125,50,51.75,52,16300,37.82396317,NaN,3.36%
4/5/2000,52.25,50,52,51.9375,9900,37.77848816,NaN,3.36%
4/6/2000,52,50.75,51.375,51.875,2100,37.73303604,NaN,3.36%
4/7/2000,51.9375,50,50.375,50.25,3500,36.55103683,NaN,3.36%
4/10/2000,52,49,51.09375,50.5,43300,36.73290253,NaN,3.36%
4/11/2000,50.5,49.3125,50.5,50.125,4200,36.46011353,NaN,3.36%
4/12/2000,51.75,49.625,50,50,3400,36.36919785,NaN,3.36%
4/13/2000,51.75,48,50,49.0625,7600,35.68727875,NaN,3.36%
4/14/2000,50,48.5,50,48.875,5400,35.55089569,NaN,3.36%
4/17/2000,51.25,48.125,50.375,50.25,5100,36.55103683,NaN,3.36%
4/18/2000,51.375,49,50.75,49,5500,35.64181137,NaN,3.36%
4/19/2000,51.75,50,51.75,50,2800,36.36919785,NaN,3.36%
4/20/2000,51.4375,49.25,51.4375,50.125,5600,36.46011353,NaN,3.36%
4/24/2000,51.4375,51,51.125,51.4375,1700,37.41481781,NaN,3.36%
4/25/2000,51.5,49.5,49.5,51.5,5900,37.46025467,NaN,3.36%
4/26/2000,51.75,49.5,51.75,51.25,5300,37.27843475,NaN,3.36%
4/27/2000,51,49.625,49.625,51,1800,37.09658051,NaN,3.36%
4/28/2000,51,50,50,51,32400,37.09658051,NaN,3.36%
5/1/2000,50.5,49,49.6875,50,6700,36.36919785,NaN,3.36%
5/2/2000,50.6875,49.125,50.6875,50,3000,36.36919785,NaN,3.36%
5/3/2000,50.5,49,49.25,50.359375,3300,36.6306076,NaN,3.36%
5/4/2000,50.375,49.25,49.25,50,4000,36.36919785,NaN,3.36%
5/5/2000,50.375,50,50.375,50,3900,36.36919785,NaN,3.36%
5/8/2000,50.25,49.9375,50.25,49.9375,1800,36.32373047,NaN,3.36%
