Ticker,Attributes,DirErr,RMSE,Training_Time
PZZA,"['High', 'Low', 'Open', 'EPS', 'Day', 'Close']",51.53,6.1002134034689774,
PZZA,"['High', 'Low', 'Day', 'Close']",51.09,5.288190015810483,
PZZA,"['High', 'Low', 'Open', 'Close']",50.66,5.139317314854731,
PZZA,"['High', 'Low', 'IR', 'Close']",49.78,13.64690883614179,
PZZA,"['High', 'Low', 'IR', 'PercentChange', 'Close']",48.03,4.253484482782663,
PZZA,"['High', 'GT', 'Volume', 'Close']",50.22,8.161794044852833,
PZZA,"['High', 'Low', 'Open', 'Day', 'IR', 'PercentChange', 'Volume', 'Close']",48.47,8.702866337194724,
PZZA,"['High', 'Volume', 'Close']",48.03,7.2920892587844,
,,,,2022-11-30 18:15:23.513498
,,,,2022-11-30 18:55:04.593393
