Ticker,Attributes,DirErr,RMSE,Training_Time
GOOGL,"['High', 'Low', 'Open', 'EPS', 'Day', 'Close']",50.41,5.229848544284945,
GOOGL,"['High', 'Low', 'Open', 'Day', 'Close']",49.49,4.737031327422525,
GOOGL,"['High', 'Low', 'Day', 'Close']",49.49,4.734645278257072,
GOOGL,"['High', 'Low', 'Open', 'Close']",48.98,4.532137249416946,
GOOGL,"['High', 'Low', 'Close']",50.51,7.056253539371205,
GOOGL,"['High', 'Low', 'EPS', 'Day', 'Close']",52.03,7.9644207589476625,
GOOGL,"['High', 'Close']",52.55,5.263694451606701,
GOOGL,"['High', 'Low', 'Open', 'Day', 'IR', 'Close']",47.96,5.193630647832135,
GOOGL,"['High', 'Low', 'EPS', 'Day', 'IR', 'Close']",47.97,8.59909029294926,
GOOGL,"['High', 'Low', 'IR', 'Close']",51.02,7.332050644702807,
GOOGL,"['High', 'Low', 'Day', 'IR', 'Close']",46.43,4.793194670007868,
GOOGL,"['High', 'Low', 'Open', 'EPS', 'Day', 'PercentChange', 'Close']",50.41,5.703935420639895,
GOOGL,"['High', 'Low', 'Open', 'Day', 'PercentChange', 'Close']",51.53,3.973215239320379,
GOOGL,"['High', 'Low', 'Day', 'PercentChange', 'Close']",51.53,5.0718131626444665,
GOOGL,"['High', 'Low', 'Open', 'PercentChange', 'Close']",51.02,5.364207841763526,
GOOGL,"['High', 'Low', 'Day', 'IR', 'PercentChange', 'Close']",51.53,3.848156859867151,
GOOGL,"['High', 'Low', 'Open', 'EPS', 'Day', 'IR', 'PercentChange', 'Close']",49.59,6.990352609757769,
GOOGL,"['High', 'Low', 'Open', 'Day', 'IR', 'PercentChange', 'Close']",51.53,6.102689138732543,
GOOGL,"['High', 'Low', 'EPS', 'Day', 'IR', 'PercentChange', 'Close']",52.03,10.939768902118226,
GOOGL,"['High', 'Low', 'IR', 'PercentChange', 'Close']",50.51,3.9740089275852846,
,,,,2022-10-15 10:28:30.426821
,,,,2022-10-15 13:23:44.330110
